sqft, schoolRating, numberOfBedRooms, housePrice
2969,10,1,129766
1712,7,2,86464
1955,8,2,112960
2655,7,3,119474
2004,4,3,72528
1808,2,2,42360
2796,4,3,68753
1392,8,1,104817
1013,7,2,97861
1137,10,3,119547
2702,4,1,53768
1866,8,3,116974
2668,6,3,88566
2033,1,2,51059
1861,5,2,71532
1158,5,1,59010
2450,6,1,83359
1406,9,2,128569
1387,9,2,120533
1989,7,2,80852
1942,5,2,64193
1729,2,3,36321
2779,4,2,90715
1905,4,3,64209
1979,1,2,25968
977,5,2,68036
2968,6,1,110233
2066,1,2,15690
1329,10,3,109613
2942,4,3,71677
2962,9,2,109697
1456,9,1,116256
2701,3,3,70110
2063,7,1,88265
921,4,1,43966
1981,7,2,93025
974,5,2,66042
2970,4,2,67190
2773,1,2,27673
1332,3,2,73282
1956,3,3,51147
1752,10,3,123385
1127,5,2,67102
2690,3,1,44548
2593,3,2,62334
1691,1,2,21129
1960,6,1,68531
1653,3,1,55822
1811,10,2,128457
2664,5,3,58709
937,7,3,71921
1047,7,1,106047
2964,10,3,127958
1724,10,3,119038
1905,9,1,109498
2917,9,3,135657
1093,7,1,73304
942,5,3,75483
2102,4,3,82626
1128,3,1,47751
1971,4,2,56897
2243,3,1,55156
1110,7,1,75599
1942,6,1,92593
2135,8,1,88717
2114,2,1,51052
2958,3,2,52425
2968,7,2,105851
1365,4,1,74842
2803,4,2,74764
2631,4,1,76621
2834,3,2,55548
2621,6,2,85671
2875,4,2,92835
1189,6,2,69347
1907,1,3,49901
1245,10,1,105599
2593,1,1,36672
2023,2,1,55785
1404,4,2,60201
2914,2,3,46475
2369,10,3,146843
2261,2,3,47963
2712,2,3,50483
2609,2,2,46917
1261,5,1,71686
2353,5,2,74343
2997,4,3,84422
2941,4,1,67414
2034,10,2,126644
915,8,3,93586
2036,8,3,126093
2966,7,1,109857
2433,10,2,115817
2773,6,2,92206
2054,4,3,81713
2733,2,3,64668
2633,8,1,119442
2093,1,3,46182
1508,2,2,29999
